TRACK_INDEX;TRACK_ID;NUMBER_SPOTS;NUMBER_GAPS;NUMBER_SPLITS;NUMBER_MERGES;NUMBER_COMPLEX;LONGEST_GAP;TRACK_DURATION;TRACK_START;TRACK_STOP;TRACK_DISPLACEMENT;TRACK_X_LOCATION;TRACK_Y_LOCATION;TRACK_Z_LOCATION;TRACK_MEAN_SPEED;TRACK_MAX_SPEED;TRACK_MIN_SPEED;TRACK_MEDIAN_SPEED;TRACK_STD_SPEED;TRACK_MEAN_QUALITY;TOTAL_DISTANCE_TRAVELED;MAX_DISTANCE_TRAVELED;CONFINEMENT_RATIO;MEAN_STRAIGHT_LINE_SPEED;LINEARITY_OF_FORWARD_PROGRESSION;MEAN_DIRECTIONAL_CHANGE_RATE
1.0;1.0;46.0;0.0;0.0;0.0;0.0;0.0;22.5;1.5;24.0;0.26272642839530286;33.54716374897077;10.422712679464539;0.0;0.08061957503559884;0.3523184300413871;0.013344922309736143;0.06837956237937344;0.05821592860582225;3.6351836142332656;1.8139404383009745;0.5278876247604388;0.1448374063711735;0.01167673015090235;0.14483740637117357;2.5927121613544033
47.0;47.0;26.0;1.0;0.0;0.0;0.0;1.0;13.0;1.5;14.5;2.928417319909011;22.300438864615522;22.732724823240417;0.0;0.31789882882736753;1.4564439191489291;0.03707404396258703;0.2580826339320238;0.3065181260867884;3.55950980920058;4.47945590562224;2.928417319909011;0.6537439773061513;0.22526287076223162;0.7085992471037346;1.409294733083329
53.0;53.0;24.0;0.0;0.0;0.0;0.0;0.0;11.5;0.5;12.0;2.1893029845605794;16.146814185745495;4.27244881129005;0.0;0.2584190774187951;3.342388044983514;0.034458048811269154;0.12354063040975614;0.6745540504131238;4.45681228240331;2.9718193903161443;2.1893029845605794;0.7366877649747348;0.19037417257048517;0.736687764974735;2.068548803146956
59.0;59.0;30.0;0.0;0.0;0.0;0.0;0.0;14.5;0.5;15.0;0.9480171210639574;14.956572024063172;28.117131927714816;0.0;0.31574029549206395;3.6165557077548165;0.03943638622704141;0.19315991776833197;0.6419283697609655;4.558265026410421;4.578234284634928;2.5397393463858804;0.2070704691207285;0.06538049110785914;0.20707046912072855;0.9504723096599051
64.0;64.0;45.0;1.0;0.0;0.0;0.0;1.0;22.5;0.5;23.0;0.7368321671150876;30.811865079835822;30.074693637296722;0.0;0.17024802067185402;2.4849973901880023;0.01500046172120339;0.10661136481569618;0.3732867843167093;3.861487547556559;4.104203952974097;1.2016361225175742;0.17953107973134344;0.03274809631622611;0.19235522496526822;2.2198125207421486
96.0;96.0;19.0;1.0;0.0;0.0;0.0;1.0;9.5;2.0;11.5;1.900901842204974;16.76740971705218;26.165397912699053;0.0;0.2180545926578093;0.5951081920868568;0.04337471694168014;0.22572763737460544;0.16186199841753776;2.968697924362986;2.0568759099602976;1.9026844057641636;0.9241694323901464;0.2000949307584183;0.917636855612691;1.4376482614819386
97.0;97.0;56.0;2.0;0.0;0.0;0.0;1.0;28.5;2.5;31.0;5.203709994042402;27.41059382193416;28.10287048153304;0.0;0.26696470081193996;2.345480382366178;0.03540885421745498;0.18890445493668118;0.31736746676967953;4.2341776958533694;7.805030692814194;5.203709994042402;0.666712303749589;0.18258631558043517;0.683934299272981;1.077570076734513
101.0;101.0;23.0;1.0;0.0;0.0;0.0;1.0;11.5;2.5;14.0;2.4347709933768313;21.110653484590213;32.39228843646945;0.0;0.21753565381093665;0.42136929379680277;0.07980269992088902;0.20384937234234166;0.08152782397909784;3.446457748827727;2.4872190411399235;2.4347709933768313;0.9789129759399661;0.21171921681537664;0.97326214395818;0.41889167165022717
105.0;105.0;36.0;0.0;0.0;0.0;0.0;0.0;17.5;2.5;20.0;1.9051921123155064;31.503941616546527;32.606488927104614;0.0;0.1405859570907288;0.6291212646686296;0.016515776298425912;0.10205688591249092;0.12454371893356135;4.473323047161102;2.4602542490877544;1.9051921123155064;0.774388302762586;0.10886812070374323;0.7743883027625861;2.0072075181010938
109.0;109.0;29.0;0.0;0.0;0.0;0.0;0.0;14.0;2.0;16.0;3.3583371371301785;26.877710777780855;11.469376173434062;0.0;0.28528696073617793;2.331368103220318;0.020335966864461937;0.23263176865269974;0.4155229497339141;3.756495294899776;3.9940174503064916;3.3583371371301785;0.8408418788637159;0.23988122408072704;0.8408418788637161;1.0587344572919104
