 ,Area,Mean,Min,Max
1,0.530,9271.545,3396,23566
2,0.496,7465.760,1667,21911
3,0.320,6693.861,1075,15923
4,0.633,4538.223,1290,12432
5,0.450,17253.301,4306,38336
6,0.176,9425.245,3021,18437
7,0.294,7033.961,1276,16660
8,0.194,7391.325,2449,12698
9,0.366,9446.851,2573,15655
10,0.385,11095.305,5451,21225
11,0.822,10975.267,2543,22791
12,0.193,7719.370,2626,19476
13,0.787,6616.644,2364,15142
14,0.380,6173.896,2099,13827
