 ,Area,Mean,Min,Max
1,1.040,5947.821,1863,14510
2,0.282,7357.344,3315,11669
3,0.961,5606.179,1712,13778
4,0.503,6800.283,2166,15764
5,0.683,7332.986,1827,16957
6,0.266,5625.235,1434,10675
7,0.643,4520.021,874,14554
8,0.749,5204.727,1331,13568
9,1.946,4582.131,947,10686
10,1.119,2752.957,697,9780
11,0.248,4214.729,1677,7671
12,0.530,3303.087,1680,6227
