 ,Area,Mean,Min,Max
1,2.894,2510.240,528,8640
2,0.845,3511.064,696,10022
3,1.033,3047.428,897,8901
4,1.176,2856.246,786,9201
5,1.190,3071.176,1057,8840
6,0.773,4237.118,1518,11882
7,0.756,3424.609,946,20742
8,1.024,3214.093,829,8743
9,1.140,1604.547,296,4683
10,1.832,1460.777,269,4301
11,0.954,1475.095,394,3171
12,0.754,2481.705,826,4396
13,0.748,1830.184,714,2716
14,2.175,1775.706,276,4026
