 ,Area,Mean,Min,Max
1,0.790,3865.741,760,14197
2,1.483,3525.082,666,13996
3,0.632,3918.173,1058,15190
4,0.908,4208.295,1089,14061
5,0.691,7241.527,2246,24764
6,0.735,6277.965,2486,17883
7,0.598,8146.657,2491,24742
8,0.350,6830.444,2572,21914
9,1.318,7273.355,1617,24428
10,2.243,5091.000,1036,15910
11,0.912,7433.992,2991,14097
12,0.658,5019.446,2907,9370
